report_section,report_title,customer_id,review_group,review_reason,lifetime_sends,sends_30d,monetary,recency_days,frequency,acquisition_channel,region
4.1,VALUABLE CUSTOMERS: OPPORTUNITITES VS SUPPRESSED,2543,Potential opportunity - eligibility review,No preliminary Email restriction,1,0,244.19,15,2,Organic Search,Auckland
4.1,VALUABLE CUSTOMERS: OPPORTUNITITES VS SUPPRESSED,7914,Potential opportunity - eligibility review,No preliminary Email restriction,1,0,173.61,14,2,Paid Search,Hamilton
4.1,VALUABLE CUSTOMERS: OPPORTUNITITES VS SUPPRESSED,5649,Potential opportunity - eligibility review,No preliminary Email restriction,1,0,171.96,4,2,Referral,Hamilton
4.1,VALUABLE CUSTOMERS: OPPORTUNITITES VS SUPPRESSED,4937,Potential opportunity - eligibility review,No preliminary Email restriction,1,0,150.53,1,4,Organic Search,Auckland
4.1,VALUABLE CUSTOMERS: OPPORTUNITITES VS SUPPRESSED,3488,Potential opportunity - eligibility review,No preliminary Email restriction,1,0,149.69,28,2,Paid Social,Wellington
4.1,VALUABLE CUSTOMERS: OPPORTUNITITES VS SUPPRESSED,6643,Potential opportunity - eligibility review,No preliminary Email restriction,1,0,135.79,11,2,Paid Search,Auckland
4.1,VALUABLE CUSTOMERS: OPPORTUNITITES VS SUPPRESSED,2690,Potential opportunity - eligibility review,No preliminary Email restriction,1,0,132.34,4,2,Organic Search,Auckland
4.1,VALUABLE CUSTOMERS: OPPORTUNITITES VS SUPPRESSED,5804,Potential opportunity - eligibility review,No preliminary Email restriction,1,0,131.53,15,2,Paid Social,Christchurch
4.1,VALUABLE CUSTOMERS: OPPORTUNITITES VS SUPPRESSED,7207,Potential opportunity - eligibility review,No preliminary Email restriction,1,0,123.56,6,3,Organic Search,Christchurch
4.1,VALUABLE CUSTOMERS: OPPORTUNITITES VS SUPPRESSED,5794,Potential opportunity - eligibility review,No preliminary Email restriction,1,0,113.52,31,2,Organic Search,Auckland
4.1,VALUABLE CUSTOMERS: OPPORTUNITITES VS SUPPRESSED,2230,Potential opportunity - eligibility review,No preliminary Email restriction,1,0,108.68,13,2,Events,Auckland
4.1,VALUABLE CUSTOMERS: OPPORTUNITITES VS SUPPRESSED,5198,Potential opportunity - eligibility review,No preliminary Email restriction,1,0,94.27,67,2,Organic Search,Other NZ
4.1,VALUABLE CUSTOMERS: OPPORTUNITITES VS SUPPRESSED,2117,Potential opportunity - eligibility review,No preliminary Email restriction,2,0,420.1,16,3,Organic Search,Auckland
4.1,VALUABLE CUSTOMERS: OPPORTUNITITES VS SUPPRESSED,1448,Potential opportunity - eligibility review,No preliminary Email restriction,2,0,338.21,1,3,Paid Search,Auckland
4.1,VALUABLE CUSTOMERS: OPPORTUNITITES VS SUPPRESSED,5532,Potential opportunity - eligibility review,No preliminary Email restriction,2,0,293.94,23,2,Paid Social,Other NZ
4.1,VALUABLE CUSTOMERS: OPPORTUNITITES VS SUPPRESSED,4208,Potential opportunity - eligibility review,No preliminary Email restriction,2,0,225.71,1,3,Organic Search,Wellington
4.1,VALUABLE CUSTOMERS: OPPORTUNITITES VS SUPPRESSED,264,Potential opportunity - eligibility review,No preliminary Email restriction,2,0,207.25,61,2,Organic Search,Auckland
4.1,VALUABLE CUSTOMERS: OPPORTUNITITES VS SUPPRESSED,4122,Potential opportunity - eligibility review,No preliminary Email restriction,2,0,180.85,5,3,Events,Hamilton
4.1,VALUABLE CUSTOMERS: OPPORTUNITITES VS SUPPRESSED,3398,Potential opportunity - eligibility review,No preliminary Email restriction,2,0,166.63,23,2,Paid Social,Other NZ
4.1,VALUABLE CUSTOMERS: OPPORTUNITITES VS SUPPRESSED,6559,Potential opportunity - eligibility review,No preliminary Email restriction,2,0,138.55,38,3,Paid Social,Auckland
4.1,VALUABLE CUSTOMERS: OPPORTUNITITES VS SUPPRESSED,3495,Potential opportunity - eligibility review,No preliminary Email restriction,2,0,115.85,2,2,Paid Social,Other NZ
4.1,VALUABLE CUSTOMERS: OPPORTUNITITES VS SUPPRESSED,7544,Potential opportunity - eligibility review,No preliminary Email restriction,2,0,114.92,26,2,Organic Search,Christchurch
4.1,VALUABLE CUSTOMERS: OPPORTUNITITES VS SUPPRESSED,722,Potential opportunity - eligibility review,No preliminary Email restriction,2,0,109.98,19,2,Paid Social,Auckland
4.1,VALUABLE CUSTOMERS: OPPORTUNITITES VS SUPPRESSED,2363,Potential opportunity - eligibility review,No preliminary Email restriction,2,0,106.26,7,3,Paid Social,Auckland
4.1,VALUABLE CUSTOMERS: OPPORTUNITITES VS SUPPRESSED,4840,Potential opportunity - eligibility review,No preliminary Email restriction,2,0,88.1,66,2,Paid Social,Hamilton
4.1,VALUABLE CUSTOMERS: OPPORTUNITITES VS SUPPRESSED,530,Potential opportunity - eligibility review,No preliminary Email restriction,2,0,87.29,46,3,Referral,Auckland
4.1,VALUABLE CUSTOMERS: OPPORTUNITITES VS SUPPRESSED,5311,Potential opportunity - eligibility review,No preliminary Email restriction,3,0,478.7,3,4,Events,Other NZ
4.1,VALUABLE CUSTOMERS: OPPORTUNITITES VS SUPPRESSED,470,Potential opportunity - eligibility review,No preliminary Email restriction,3,0,222.2,12,2,Paid Social,Wellington
4.1,VALUABLE CUSTOMERS: OPPORTUNITITES VS SUPPRESSED,3734,Potential opportunity - eligibility review,No preliminary Email restriction,3,0,201.67,21,2,Referral,Auckland
4.1,VALUABLE CUSTOMERS: OPPORTUNITITES VS SUPPRESSED,3643,Potential opportunity - eligibility review,No preliminary Email restriction,3,0,182.31,39,2,Referral,Hamilton
4.1,VALUABLE CUSTOMERS: OPPORTUNITITES VS SUPPRESSED,7355,Potential opportunity - eligibility review,No preliminary Email restriction,3,0,171.12,31,2,Referral,Wellington
4.1,VALUABLE CUSTOMERS: OPPORTUNITITES VS SUPPRESSED,5578,Potential opportunity - eligibility review,No preliminary Email restriction,3,0,170.33,19,2,Paid Social,Auckland
4.1,VALUABLE CUSTOMERS: OPPORTUNITITES VS SUPPRESSED,6128,Potential opportunity - eligibility review,No preliminary Email restriction,3,0,160.75,15,2,Events,Auckland
4.1,VALUABLE CUSTOMERS: OPPORTUNITITES VS SUPPRESSED,7113,Potential opportunity - eligibility review,No preliminary Email restriction,3,0,147.22,24,3,Referral,Auckland
